registro	ano	mes	dia	tmed	urmed	vento	tmax	urmax	ventomax	tmin	urmin	chuva
71	1997	3	12	24.80	73.94	0.73	31.35	100.00	6.95	19.27	37.32	0.00
72	1997	3	13	23.28	79.32	1.18	31.99	100.00	14.45	18.02	38.80	26.10
73	1997	3	14	23.88	77.85	1.18	30.09	100.00	10.70	18.24	48.60	0.00
74	1997	3	15	21.95	91.52	1.07	25.16	100.00	5.45	20.03	71.74	2.90
75	1997	3	16	22.41	83.38	1.64	27.74	100.00	7.70	19.02	58.29	0.00
76	1997	3	17	21.98	77.99	2.51	28.40	98.56	9.20	17.52	50.09	0.00
77	1997	3	18	21.94	71.51	2.81	29.55	96.67	9.20	16.09	41.83	0.00
78	1997	3	19	23.01	72.86	1.60	29.72	100.00	8.45	16.12	41.56	0.00
79	1997	3	20	23.54	75.23	1.55	31.30	98.96	9.20	17.99	39.61	0.00
80	1997	3	21	23.51	73.57	1.92	30.49	95.59	9.20	18.41	44.99	0.00
81	1997	3	22	22.53	71.05	1.50	30.04	100.00	8.45	15.34	35.38	0.00
82	1997	3	23	23.02	72.73	1.00	30.54	100.00	6.20	15.94	35.45	0.00
83	1997	3	24	23.05	71.53	1.45	30.47	100.00	7.70	16.69	30.48	0.00
84	1997	3	25	22.64	71.45	3.04	29.50	97.08	8.45	16.95	40.29	0.00
85	1997	3	26	22.48	71.31	2.58	28.92	95.93	9.20	17.80	39.15	0.00
86	1997	3	27	21.70	68.03	2.13	28.42	97.88	9.20	16.36	35.86	0.00
87	1997	3	28	20.58	65.71	2.33	28.17	96.42	9.95	14.22	29.01	0.00
88	1997	3	29	21.02	66.23	2.49	27.29	86.47	9.20	15.94	40.29	0.00
89	1997	3	30	19.20	78.63	0.83	22.47	91.83	6.95	15.36	62.09	0.10
90	1997	3	31	18.70	98.32	1.26	20.18	100.00	8.45	17.11	86.12	20.00
91	1997	4	1	22.19	83.31	1.68	28.40	100.00	8.45	18.20	50.70	0.00
92	1997	4	2	21.76	85.59	0.95	27.98	100.00	9.95	17.19	48.55	4.50
93	1997	4	3	22.13	81.53	1.01	27.86	100.00	7.70	17.45	48.15	0.00
94	1997	4	4	23.17	77.63	1.70	30.42	100.00	9.20	16.77	38.01	0.00
95	1997	4	5	21.41	83.53	1.21	28.13	100.00	6.95	16.00	56.06	0.00
96	1997	4	6	18.72	80.12	2.28	26.70	100.00	9.95	13.42	43.38	0.00
97	1997	4	7	19.77	74.67	3.14	26.19	92.10	9.20	15.29	47.95	0.00
98	1997	4	8	19.78	74.51	2.32	26.80	97.71	9.20	13.83	43.45	0.00
99	1997	4	9	19.77	75.48	1.83	27.29	100.00	9.95	12.68	39.22	0.00
100	1997	4	10	20.14	69.05	1.03	27.30	100.00	6.95	12.99	30.28	0.00
101	1997	4	11	20.13	70.14	0.64	27.70	100.00	6.95	13.33	32.98	0.00
102	1997	4	12	20.56	70.48	1.15	28.64	100.00	7.70	13.16	33.51	0.00
103	1997	4	13	21.16	71.59	0.74	29.03	100.00	6.95	15.09	30.89	0.00
104	1997	4	14	21.45	67.18	1.36	29.64	100.00	7.70	13.19	28.74	0.00
105	1997	4	15	21.70	70.85	1.07	29.08	99.46	7.70	13.83	34.51	0.00
106	1997	4	16	22.39	76.02	0.74	30.28	100.00	6.95	15.19	42.24	0.00
107	1997	4	17	20.24	95.23	0.66	24.07	100.00	10.70	18.56	73.71	14.10
108	1997	4	18	21.46	87.36	0.53	27.48	100.00	6.20	18.16	55.60	0.00
109	1997	4	19	22.31	79.72	0.86	29.84	100.00	5.45	16.41	42.98	0.00
110	1997	4	20	20.03	91.40	0.81	22.61	100.00	6.95	16.29	76.53	1.30
111	1997	4	21	21.55	85.66	0.93	27.64	100.00	6.95	18.09	56.68	0.00
112	1997	4	22	21.27	78.61	1.59	27.77	100.00	8.45	15.40	46.33	0.00
113	1997	4	23	21.08	78.22	1.48	28.54	100.00	6.95	14.99	43.11	0.00
114	1997	4	24	20.45	78.99	0.66	28.63	100.00	3.95	13.74	37.94	0.00
115	1997	4	25	21.56	74.32	1.32	29.29	100.00	8.45	13.08	42.78	0.00
116	1997	4	26	22.39	73.78	1.00	29.13	100.00	6.95	17.21	36.46	0.00
117	1997	4	27	19.62	75.10	0.70	28.33	100.00	5.45	12.29	32.31	0.00
118	1997	4	28	20.37	66.22	1.28	28.51	100.00	10.70	13.13	29.01	0.00
119	1997	4	29	19.92	64.24	1.16	28.29	100.00	6.95	11.15	31.69	0.00
120	1997	4	30	20.04	71.11	1.34	29.17	100.00	6.95	11.54	34.31	0.00
121	1997	5	1	20.97	70.97	1.15	30.22	100.00	4.70	12.66	27.86	0.00
122	1997	5	2	21.69	70.92	1.22	30.87	100.00	6.20	12.82	31.95	0.00
123	1997	5	3	21.90	69.55	1.48	30.78	100.00	9.95	14.20	30.22	0.00
124	1997	5	4	20.93	73.70	2.10	28.62	100.00	7.70	14.48	37.33	0.00
125	1997	5	5	20.80	76.48	1.34	28.15	100.00	6.20	14.08	42.97	0.00
126	1997	5	6	20.13	76.04	1.21	26.98	100.00	6.95	13.81	36.66	0.00
127	1997	5	7	19.19	76.08	1.15	27.24	100.00	7.70	11.73	36.06	0.20
128	1997	5	8	19.90	76.18	0.69	27.86	100.00	4.70	12.97	36.60	0.00
129	1997	5	9	18.89	81.11	1.11	26.06	100.00	6.95	14.03	38.15	0.00
130	1997	5	10	18.75	77.40	1.19	27.44	100.00	8.45	11.43	30.76	0.00
131	1997	5	11	19.71	77.12	1.05	27.43	100.00	8.45	12.33	39.62	0.00
132	1997	5	12	19.93	73.02	0.97	28.23	100.00	7.70	12.93	27.93	0.00
133	1997	5	13	18.75	71.48	1.37	26.48	100.00	8.45	11.53	33.58	0.00
134	1997	5	14	17.45	80.07	1.72	23.51	100.00	8.45	10.98	50.33	0.00
135	1997	5	15	16.95	84.24	0.60	22.18	100.00	6.20	12.32	56.24	0.10
136	1997	5	16	17.28	88.96	0.75	22.35	100.00	4.70	13.90	63.30	1.80
137	1997	5	17	18.73	79.07	1.00	25.90	100.00	6.20	12.55	43.59	0.00
138	1997	5	18	18.98	75.67	0.66	26.64	100.00	4.70	12.50	40.16	0.00
139	1997	5	19	19.11	74.04	1.09	28.35	100.00	6.20	11.73	34.45	0.10
140	1997	5	20	19.29	74.90	1.16	28.93	100.00	6.95	11.24	36.46	0.00
141	1997	5	21	19.93	72.09	1.48	28.93	100.00	8.45	11.82	36.26	0.00
142	1997	5	22	17.59	90.56	1.26	20.91	100.00	15.20	14.44	69.98	5.90
143	1997	5	23	17.49	82.60	1.91	23.18	100.00	8.45	14.57	43.74	0.10
144	1997	5	24	16.73	90.30	1.68	22.23	100.00	9.95	13.00	59.67	20.10
