registro	ano	mes	dia	tmed	urmed	vento	tmax	urmax	ventomax	tmin	urmin	chuva
1363	2000	9	24	24.43	61.97	2.68	32.24	100.00	17.45	18.01	26.93	1.30
1364	2000	9	25	16.14	87.60	3.07	19.49	100.00	9.20	11.94	69.30	0.40
1365	2000	9	26	15.17	78.90	4.25	19.72	95.30	11.45	11.93	61.10	0.00
1366	2000	9	27	18.65	74.90	2.70	25.16	90.90	8.45	13.38	54.35	0.00
1367	2000	9	28	20.65	73.60	1.30	29.11	100.00	8.45	12.61	39.62	0.00
1368	2000	9	29	22.15	72.20	1.52	30.67	100.00	9.20	14.51	35.52	0.00
1369	2000	9	30	21.17	75.60	0.82	29.31	100.00	5.45	14.58	42.71	0.00
1370	2000	10	1	23.04	67.99	1.04	30.13	97.90	8.45	16.47	32.64	0.00
1371	2000	10	2	23.68	67.97	0.89	31.37	100.00	4.70	15.79	34.11	0.00
1372	2000	10	3	25.49	63.41	1.21	33.33	98.20	6.95	16.79	33.50	0.00
1373	2000	10	4	23.76	79.30	1.78	33.24	100.00	16.70	18.89	40.35	6.90
1374	2000	10	5	21.43	96.30	0.99	27.56	100.00	6.95	19.03	63.47	2.60
1375	2000	10	6	22.45	85.10	1.23	28.02	100.00	6.95	18.46	58.03	0.00
1376	2000	10	7	21.55	74.80	1.73	29.03	100.00	9.95	14.70	29.75	0.00
1377	2000	10	8	21.59	74.20	1.99	29.90	100.00	9.20	13.81	35.33	0.00
1378	2000	10	9	26.56	69.38	1.65	32.57	97.60	13.70	18.35	45.72	9.70
1379	2000	10	10	24.37	78.80	1.29	31.62	100.00	13.70	18.53	47.82	0.00
1380	2000	10	11	23.17	86.10	0.48	27.23	99.70	3.95	19.30	66.17	0.00
1381	2000	10	12	26.87	66.04	1.07	35.45	100.00	8.45	18.16	28.33	0.00
1382	2000	10	13	26.94	63.79	1.41	34.90	100.00	9.20	19.24	27.99	0.00
1383	2000	10	14	24.95	75.10	1.70	35.14	100.00	9.95	18.70	31.21	0.00
1384	2000	10	15	24.65	72.10	2.18	33.64	94.70	9.95	18.64	36.39	0.00
1385	2000	10	16	25.61	70.20	1.15	33.47	98.40	6.95	19.03	37.73	0.00
1386	2000	10	17	26.76	66.71	1.23	34.50	100.00	8.45	19.09	29.60	0.00
1387	2000	10	18	27.54	59.24	1.52	35.55	98.80	10.70	18.73	24.50	0.00
1388	2000	10	19	26.32	67.02	1.28	34.67	96.00	12.95	20.67	33.09	3.60
1389	2000	10	20	24.27	81.80	1.44	32.50	100.00	12.95	20.22	44.24	5.90
1390	2000	10	21	24.73	77.70	1.41	33.25	100.00	9.20	19.02	36.72	0.00
1391	2000	10	22	25.84	70.40	0.96	35.01	100.00	6.20	17.44	34.91	0.00
1392	2000	10	23	27.49	65.49	1.39	36.56	100.00	10.70	19.23	27.46	16.50
1393	2000	10	24	24.57	79.70	1.66	32.93	100.00	9.20	19.45	43.63	12.90
1394	2000	10	25	22.35	92.20	1.11	26.55	100.00	6.95	18.48	71.40	11.90
1395	2000	10	26	24.28	82.00	0.83	32.44	100.00	10.70	19.11	46.12	32.70
1396	2000	10	27	22.61	90.20	0.89	26.82	100.00	9.95	19.49	64.24	0.00
1397	2000	10	28	22.43	87.50	1.99	27.80	100.00	9.20	18.33	61.45	0.00
1398	2000	10	29	20.23	79.60	3.60	25.42	97.40	10.70	16.71	53.28	0.00
1399	2000	10	30	21.99	73.50	1.77	30.17	98.00	8.45	14.82	34.39	0.00
1400	2000	10	31	22.71	75.70	1.27	28.70	100.00	6.95	16.67	46.41	0.00
1401	2000	11	1	23.59	72.30	1.57	31.19	100.00	9.20	15.97	32.49	0.00
1402	2000	11	2	24.94	71.10	1.29	32.74	100.00	8.45	16.82	37.40	0.00
1403	2000	11	3	23.99	84.50	1.32	32.02	100.00	8.45	19.73	46.19	9.60
1404	2000	11	4	24.02	80.00	1.78	30.36	100.00	9.95	18.97	49.90	0.00
1405	2000	11	5	23.55	81.40	0.86	30.40	100.00	7.70	17.94	49.56	0.00
1406	2000	11	6	23.96	80.70	2.17	31.61	100.00	12.20	19.12	38.68	19.50
1407	2000	11	7	22.64	80.10	3.92	27.00	91.90	10.70	18.74	60.66	0.00
1408	2000	11	8	23.07	67.92	1.80	30.13	94.80	10.70	16.55	33.38	0.00
1409	2000	11	9	23.41	73.10	1.11	31.56	100.00	6.95	15.33	35.31	0.00
1410	2000	11	10	22.60	84.60	1.26	30.87	100.00	9.95	18.79	48.49	11.20
1411	2000	11	11	23.66	81.50	1.53	32.13	100.00	9.95	18.76	42.43	1.00
1412	2000	11	12	23.22	88.50	1.09	29.09	100.00	9.95	19.30	61.18	1.50
1413	2000	11	13	22.46	92.90	1.22	27.93	100.00	14.45	18.55	66.35	10.20
1414	2000	11	14	19.89	100.00	0.82	21.69	100.00	6.95	17.01	95.20	22.40
1415	2000	11	15	20.35	83.40	2.21	26.84	100.00	9.20	15.01	51.73	0.10
1416	2000	11	16	21.67	79.40	1.61	29.31	100.00	9.95	14.52	46.54	0.00
1417	2000	11	17	22.79	79.40	1.69	31.42	100.00	11.45	16.14	41.62	0.80
1418	2000	11	18	17.94	100.00	1.28	20.52	100.00	7.70	16.11	89.70	51.90
1419	2000	11	19	21.29	90.40	0.72	26.53	100.00	6.20	17.01	64.74	0.00
1420	2000	11	20	23.37	82.60	0.65	30.36	100.00	7.70	17.50	43.99	0.20
1421	2000	11	21	21.52	89.70	1.24	31.12	100.00	17.45	17.57	51.18	15.00
1422	2000	11	22	22.47	88.00	0.74	29.44	100.00	7.70	16.92	54.66	0.10
1423	2000	11	23	23.85	85.70	0.81	31.01	100.00	9.20	18.87	53.73	0.00
1424	2000	11	24	22.25	92.50	1.05	30.68	100.00	10.70	19.34	57.22	2.30
1425	2000	11	25	20.41	100.00	0.87	24.96	100.00	11.45	18.36	87.80	41.70
1426	2000	11	26	22.22	88.30	1.22	28.49	100.00	6.95	18.17	58.83	2.30
1427	2000	11	27	23.65	82.20	0.75	31.22	100.00	5.45	17.06	44.85	0.00
1428	2000	11	28	23.76	85.50	1.31	30.73	100.00	8.45	19.38	51.31	0.00
1429	2000	11	29	23.97	85.70	1.34	30.78	100.00	11.45	18.77	57.35	22.20
1430	2000	11	30	22.48	93.70	1.36	28.58	100.00	9.20	19.09	60.98	16.50
1431	2000	12	1	20.73	88.00	2.44	24.42	100.00	8.45	16.25	72.00	0.00
1432	2000	12	2	21.73	82.70	1.12	28.54	100.00	5.45	14.43	55.14	0.00
1433	2000	12	3	25.28	79.60	0.84	31.51	100.00	5.45	18.78	50.42	0.00
1434	2000	12	4	22.69	97.70	1.03	27.74	100.00	8.45	20.45	78.90	29.30
1435	2000	12	5	23.44	93.50	0.94	29.87	100.00	10.70	20.17	60.04	2.20
1436	2000	12	6	22.60	81.70	1.99	28.42	100.00	8.45	18.57	52.25	0.00
1437	2000	12	7	23.00	74.00	1.31	30.00	100.00	6.20	15.51	39.29	0.00
1438	2000	12	8	24.87	78.70	0.96	31.99	100.00	6.20	17.33	46.94	0.00
1439	2000	12	9	24.98	84.20	1.21	31.83	100.00	10.70	19.72	51.78	1.40
1440	2000	12	10	23.85	88.30	1.84	29.91	100.00	9.20	20.16	62.06	3.90
1441	2000	12	11	24.28	78.20	1.41	30.09	99.90	7.70	17.94	53.06	0.00
1442	2000	12	12	25.31	80.60	1.29	32.89	100.00	8.45	19.32	45.79	0.00
1443	2000	12	13	24.18	88.70	1.24	31.51	100.00	12.20	20.50	53.93	7.60
1444	2000	12	14	22.53	99.30	0.87	27.85	100.00	7.70	20.54	78.20	2.00
1445	2000	12	15	23.18	95.80	1.27	28.81	100.00	8.45	20.59	71.30	0.50
1446	2000	12	16	23.09	99.20	1.25	30.32	100.00	12.95	19.25	65.48	50.50
1447	2000	12	17	18.17	96.00	2.88	20.05	100.00	10.70	16.92	84.50	8.80
1448	2000	12	18	18.98	88.10	2.69	21.43	97.20	9.20	16.34	73.30	0.00
1449	2000	12	19	21.87	84.60	1.00	28.10	100.00	5.45	16.71	60.04	0.00
1450	2000	12	20	24.56	76.70	1.07	31.28	100.00	6.20	18.83	39.28	0.00
1451	2000	12	21	23.77	85.40	1.09	31.15	100.00	10.70	18.86	49.17	9.10
1452	2000	12	22	23.72	90.20	1.06	31.26	100.00	11.45	19.58	58.02	1.60
1453	2000	12	23	24.21	89.40	0.89	31.51	100.00	6.20	19.28	60.63	0.00
1454	2000	12	24	24.18	90.00	1.10	32.43	100.00	8.45	20.11	53.64	23.00
1455	2000	12	25	24.18	91.60	1.45	30.25	100.00	6.95	20.21	65.61	0.20
1456	2000	12	26	23.01	95.40	0.94	29.88	100.00	8.45	20.54	70.50	4.80
1457	2000	12	27	24.11	88.50	1.17	31.40	100.00	9.95	19.29	53.51	17.10
1458	2000	12	28	22.52	99.20	0.74	28.00	100.00	4.70	19.74	75.40	15.60
1459	2000	12	29	24.20	91.70	1.15	29.46	100.00	6.95	20.22	65.08	4.90
1460	2000	12	30	23.96	94.20	1.11	29.31	100.00	7.70	21.09	68.50	5.00
1461	2000	12	31	23.40	93.00	1.50	28.58	100.00	7.70	19.96	68.23	0.00
1462	2001	1	1	23.59	82.40	2.55	29.94	100.00	7.70	19.04	57.09	0.00
1463	2001	1	2	23.51	78.50	1.67	30.02	99.80	6.95	17.40	39.96	0.00
1464	2001	1	3	23.10	80.60	1.77	29.55	100.00	9.20	16.83	42.31	0.00
1465	2001	1	4	23.49	85.90	1.28	30.34	100.00	9.20	17.64	59.37	7.40
1466	2001	1	5	24.64	81.40	1.06	32.82	100.00	9.95	19.03	46.79	0.00
1467	2001	1	6	25.98	80.50	0.72	32.56	100.00	4.70	19.72	47.94	0.00
1468	2001	1	7	27.02	73.10	0.97	34.59	100.00	6.20	21.03	34.57	0.00
1469	2001	1	8	24.33	83.80	1.13	33.69	100.00	9.20	19.54	47.67	2.80
1470	2001	1	9	25.71	77.10	1.21	32.48	98.90	9.20	20.53	44.04	0.00
1471	2001	1	10	23.95	83.30	1.33	28.63	100.00	9.20	20.07	58.56	0.10
1472	2001	1	11	24.19	80.00	1.22	29.57	100.00	6.95	20.46	48.49	0.20
1473	2001	1	12	23.04	86.80	1.51	31.52	100.00	14.45	17.68	48.82	25.30
1474	2001	1	13	21.36	94.10	0.83	30.37	100.00	12.20	17.61	60.58	3.90
1475	2001	1	14	23.03	87.40	0.48	30.58	100.00	6.20	18.17	53.66	0.00
1476	2001	1	15	24.60	81.10	0.99	31.63	100.00	10.70	18.97	46.12	4.70
1477	2001	1	16	25.86	73.70	0.90	31.98	100.00	6.95	19.18	37.07	0.00
1478	2001	1	17	26.80	76.40	0.92	33.23	100.00	8.45	21.62	43.50	0.00
1479	2001	1	18	27.14	75.90	1.09	33.96	100.00	12.20	19.53	40.28	20.40
1480	2001	1	19	25.32	80.10	1.19	33.04	100.00	12.95	18.53	46.26	29.70
1481	2001	1	20	24.62	77.00	1.13	30.06	98.20	8.45	20.78	49.29	0.00
1482	2001	1	21	24.18	81.60	2.18	29.88	97.90	10.70	20.20	51.58	0.00
1483	2001	1	22	24.50	82.60	1.43	31.30	100.00	9.95	19.07	47.21	0.30
1484	2001	1	23	23.41	91.10	1.19	29.68	100.00	6.95	20.18	65.48	0.10
1485	2001	1	24	23.19	95.90	0.59	29.39	100.00	5.45	20.86	67.23	10.70
1486	2001	1	25	22.67	99.30	0.63	30.07	100.00	7.70	20.78	66.76	6.30
1487	2001	1	26	23.78	92.90	0.78	28.45	100.00	6.95	20.24	70.40	12.60
1488	2001	1	27	24.89	90.00	0.83	31.38	100.00	6.95	19.62	58.03	41.80
1489	2001	1	28	23.98	89.70	1.09	32.32	100.00	10.70	19.60	57.75	17.00
1490	2001	1	29	24.02	90.80	0.97	30.45	100.00	6.95	19.57	62.32	16.70
1491	2001	1	30	25.11	91.60	0.92	30.91	100.00	6.95	22.07	60.31	0.00
1492	2001	1	31	24.59	90.30	0.59	30.02	100.00	7.70	20.77	65.95	14.00
1493	2001	2	1	27.18	76.30	1.39	30.67	96.70	6.95	22.83	56.88	0.00
1494	2001	2	2	25.34	86.40	1.02	32.12	100.00	8.45	20.83	55.80	0.00
1495	2001	2	3	25.78	85.50	1.04	31.47	100.00	7.70	21.68	56.55	0.00
1496	2001	2	4	25.77	84.60	1.04	32.94	100.00	6.20	20.95	53.04	0.20
1497	2001	2	5	24.60	92.60	1.05	32.74	100.00	12.20	20.95	52.84	15.80
1498	2001	2	6	23.00	95.10	0.97	29.72	100.00	15.20	20.07	60.98	11.10
1499	2001	2	7	24.63	91.50	0.59	29.71	100.00	5.45	20.61	70.40	0.10
1500	2001	2	8	24.38	93.50	0.93	31.97	100.00	13.70	20.84	60.90	13.70
1501	2001	2	9	22.16	100.00	0.33	25.10	100.00	5.45	21.07	90.90	5.00
1502	2001	2	10	22.88	99.50	0.49	27.20	100.00	6.95	21.30	80.20	2.10
1503	2001	2	11	24.51	90.30	0.71	30.84	100.00	9.20	20.47	64.74	3.80
1504	2001	2	12	22.89	97.70	0.86	31.21	100.00	9.20	20.67	64.88	12.50
1505	2001	2	13	23.20	97.00	0.61	28.50	100.00	8.45	20.73	71.40	4.40
1506	2001	2	14	23.22	93.60	1.40	28.74	100.00	9.20	20.51	62.46	2.10
1507	2001	2	15	23.49	92.70	1.13	30.08	100.00	9.20	20.01	63.40	2.20
1508	2001	2	16	23.37	95.00	1.04	30.22	100.00	12.20	20.51	68.64	2.80
1509	2001	2	17	23.33	93.00	0.90	30.14	100.00	9.95	20.32	63.67	3.50
1510	2001	2	18	23.63	91.10	0.85	31.36	100.00	11.45	19.08	56.68	0.00
1511	2001	2	19	24.86	87.90	0.63	32.86	100.00	6.20	19.46	50.22	0.00
1512	2001	2	20	25.65	84.10	1.19	33.42	100.00	9.20	21.35	44.85	0.00
1513	2001	2	21	25.43	80.80	1.31	32.44	100.00	8.45	20.01	45.79	0.00
1514	2001	2	22	25.37	85.10	0.61	32.02	100.00	5.45	20.46	51.56	0.00
1515	2001	2	23	25.11	85.40	1.12	33.69	100.00	10.70	19.64	43.44	6.70
1516	2001	2	24	24.35	83.30	0.72	32.60	100.00	9.20	18.42	46.73	0.10
1517	2001	2	25	24.43	85.10	0.72	32.20	100.00	8.45	19.38	48.27	1.10
1518	2001	2	26	25.23	82.40	1.31	32.68	100.00	8.45	19.64	48.81	0.00
1519	2001	2	27	24.77	78.90	2.10	31.71	100.00	9.20	19.65	51.30	0.00
1520	2001	2	28	24.50	74.60	1.93	31.13	99.10	9.95	18.01	38.48	0.00
1521	2001	3	1	24.28	79.20	1.29	31.54	100.00	6.95	18.19	46.60	0.00
1522	2001	3	2	24.44	80.10	1.18	31.10	100.00	6.95	18.50	45.13	0.00
1523	2001	3	3	24.01	80.20	1.12	31.39	100.00	9.20	17.54	48.22	0.00
1524	2001	3	4	24.16	77.80	1.06	31.60	100.00	5.45	17.04	40.36	0.00
1525	2001	3	5	23.36	86.90	1.23	30.47	100.00	8.45	18.95	47.88	5.60
1526	2001	3	6	24.56	83.60	0.94	31.88	100.00	7.70	19.05	49.63	0.00
1527	2001	3	7	24.07	90.10	1.21	28.41	100.00	6.95	20.67	70.20	1.60
1528	2001	3	8	21.51	100.00	1.05	24.15	100.00	4.70	20.21	93.70	14.90
1529	2001	3	9	22.44	99.60	0.68	26.10	100.00	6.20	20.36	83.60	11.50
1530	2001	3	10	22.20	100.00	0.75	28.14	100.00	6.95	20.02	71.50	41.10
1531	2001	3	11	23.91	90.10	1.21	29.70	100.00	8.45	20.25	57.35	0.10
1532	2001	3	12	23.15	87.60	1.20	30.39	100.00	8.45	17.63	54.60	1.40
1533	2001	3	13	24.93	85.30	0.83	31.71	100.00	6.20	19.58	52.50	0.20
1534	2001	3	14	25.97	80.10	0.94	32.55	100.00	8.45	20.08	46.46	0.00
1535	2001	3	15	26.56	81.20	0.83	33.06	100.00	6.95	20.68	51.76	0.00
1536	2001	3	16	26.38	81.70	0.71	31.84	100.00	6.20	22.42	52.52	0.00
1537	2001	3	17	25.12	86.80	0.99	32.91	100.00	7.70	20.26	49.61	16.10
1538	2001	3	18	23.70	90.10	1.03	31.20	100.00	11.45	19.24	57.02	0.70
1539	2001	3	19	24.08	85.70	1.08	29.90	100.00	9.20	19.33	54.73	0.00
1540	2001	3	20	24.52	84.50	1.31	30.65	100.00	9.95	19.26	56.08	0.00
1541	2001	3	21	24.40	86.50	0.82	31.47	100.00	5.45	19.64	57.56	0.00
1542	2001	3	22	25.65	80.70	0.81	33.04	100.00	5.45	19.07	44.31	0.00
1543	2001	3	23	25.81	80.80	0.75	32.79	100.00	6.20	19.91	46.33	0.00
1544	2001	3	24	25.69	79.40	0.79	33.20	100.00	7.70	19.83	40.15	0.00
1545	2001	3	25	23.62	87.10	1.05	33.13	100.00	19.70	19.37	44.58	60.20
1546	2001	3	26	24.06	87.10	0.83	32.41	100.00	7.70	19.05	50.09	2.80
1547	2001	3	27	24.06	86.90	1.17	30.29	100.00	7.70	19.18	56.35	2.20
1548	2001	3	28	21.45	98.90	0.92	29.52	100.00	8.45	18.91	64.54	2.40
1549	2001	3	29	22.91	89.80	1.23	28.99	100.00	6.95	18.74	60.17	0.00
1550	2001	3	30	23.40	86.10	1.18	30.11	100.00	9.20	18.22	59.17	0.00
1551	2001	3	31	23.72	85.30	0.83	29.69	100.00	4.70	18.28	55.41	0.00
1552	2001	4	1	22.07	92.60	1.36	31.37	100.00	12.20	18.40	52.32	5.20
1553	2001	4	2	21.19	99.40	0.87	25.58	100.00	6.20	18.61	80.30	8.20
1554	2001	4	3	22.71	88.50	1.04	28.91	100.00	6.95	17.56	56.08	0.20
1555	2001	4	4	23.23	82.50	1.28	30.14	100.00	9.20	16.92	50.02	0.00
1556	2001	4	5	23.74	88.60	0.44	30.76	100.00	6.20	17.84	57.96	1.10
1557	2001	4	6	23.93	91.30	0.57	31.47	100.00	6.20	20.31	57.28	1.60
1558	2001	4	7	25.06	82.20	2.01	31.32	100.00	8.45	20.33	50.76	0.00
1559	2001	4	8	24.17	85.40	1.02	30.92	100.00	7.70	18.94	56.08	0.00
1560	2001	4	9	24.09	87.50	0.51	30.40	100.00	4.70	18.99	61.18	0.00
1561	2001	4	10	24.57	88.30	0.41	31.09	100.00	7.70	20.38	59.30	0.00
1562	2001	4	11	24.95	84.10	0.79	31.50	100.00	6.95	19.79	49.95	0.00
1563	2001	4	12	23.07	79.60	1.85	28.81	100.00	8.45	18.09	48.89	0.00
1564	2001	4	13	20.87	75.00	2.32	28.07	100.00	8.45	14.74	33.38	0.00
1565	2001	4	14	21.45	76.40	0.97	28.75	100.00	7.70	14.66	37.54	0.00
1566	2001	4	15	21.93	81.50	0.80	29.72	100.00	6.20	15.33	43.99	0.00
1567	2001	4	16	22.15	71.60	1.89	29.14	99.90	9.20	16.36	37.41	0.00
1568	2001	4	17	21.50	78.50	0.87	28.62	100.00	6.20	15.47	45.74	0.00
1569	2001	4	18	21.35	80.40	0.66	29.02	100.00	3.95	14.40	39.49	0.00
1570	2001	4	19	21.31	81.90	0.60	29.44	100.00	6.95	14.24	40.03	0.10
1571	2001	4	20	21.90	75.50	0.99	30.40	100.00	6.95	13.82	37.27	0.00
1572	2001	4	21	22.86	77.80	1.55	31.80	100.00	6.95	15.47	37.88	5.20
1573	2001	4	22	20.20	99.20	0.71	23.60	100.00	6.20	17.52	84.20	1.00
1574	2001	4	23	23.91	85.40	0.84	31.50	100.00	7.70	18.56	50.44	0.00
1575	2001	4	24	24.31	87.90	0.86	30.36	100.00	5.45	19.27	60.91	0.00
1576	2001	4	25	24.49	80.50	0.87	31.66	100.00	6.95	18.39	40.15	0.00
1577	2001	4	26	22.92	76.50	0.66	30.63	100.00	6.95	16.19	33.98	0.00
1578	2001	4	27	22.42	76.50	0.73	31.50	100.00	4.70	14.58	37.34	0.00
1579	2001	4	28	23.02	74.20	0.65	31.14	100.00	5.45	15.30	36.72	0.00
1580	2001	4	29	22.71	72.10	1.94	31.53	100.00	9.95	14.26	26.46	0.00
1581	2001	4	30	22.75	75.50	0.67	29.93	100.00	6.20	16.13	37.41	0.00
1582	2001	5	1	22.57	78.80	0.59	30.63	100.00	6.20	15.75	39.09	0.00
1583	2001	5	2	23.79	77.30	0.67	31.47	100.00	6.20	16.94	44.79	0.00
1584	2001	5	3	24.13	76.60	0.59	31.60	100.00	6.20	17.44	40.68	0.00
1585	2001	5	4	21.40	87.60	1.42	30.71	100.00	17.45	16.92	40.77	7.70
1586	2001	5	5	16.08	69.05	1.55	21.57	100.00	6.95	10.49	27.69	0.00
1587	2001	5	6	14.51	77.30	1.13	22.56	100.00	8.45	6.90	43.68	0.00
1588	2001	5	7	18.96	71.90	1.22	23.37	100.00	6.20	13.33	48.11	0.00
1589	2001	5	8	17.01	85.10	0.77	23.90	100.00	6.20	10.15	54.55	0.00
1590	2001	5	9	17.88	83.80	0.37	26.69	100.00	3.95	9.03	45.27	0.10
1591	2001	5	10	21.68	76.20	0.55	29.78	100.00	8.45	12.54	44.39	0.00
1592	2001	5	11	20.02	95.40	0.47	25.10	100.00	6.95	16.64	67.13	6.50
1593	2001	5	12	20.36	95.10	0.38	25.27	100.00	6.95	17.36	68.46	2.30
1594	2001	5	13	18.46	95.80	1.11	23.58	100.00	9.95	15.76	65.44	21.70
1595	2001	5	14	16.45	89.50	2.41	20.75	100.00	7.70	13.31	66.27	0.00
1596	2001	5	15	16.70	88.00	1.24	22.92	100.00	7.70	11.14	65.98	0.00
1597	2001	5	16	15.83	100.00	0.51	17.09	100.00	8.45	14.90	94.40	11.20
1598	2001	5	17	16.53	93.90	1.23	21.71	100.00	11.45	11.16	69.64	1.70
1599	2001	5	18	13.76	81.30	0.59	21.63	100.00	4.70	7.19	41.47	0.00
1600	2001	5	19	14.94	88.00	1.34	21.69	100.00	6.95	7.79	61.89	0.00
1601	2001	5	20	16.82	84.30	0.58	25.00	100.00	6.20	8.94	47.96	0.00
1602	2001	5	21	17.28	86.00	0.48	25.42	100.00	5.45	10.82	47.50	0.10
1603	2001	5	22	16.38	91.20	0.63	21.04	100.00	4.70	12.24	70.70	0.00
1604	2001	5	23	17.58	90.90	0.65	23.44	100.00	6.95	12.10	65.72	0.00
1605	2001	5	24	18.62	86.70	1.82	25.60	100.00	8.45	13.56	58.58	0.00
1606	2001	5	25	17.75	91.60	0.42	24.20	100.00	4.70	12.51	64.71	0.00
1607	2001	5	26	19.26	88.70	0.47	26.52	100.00	4.70	12.80	58.23	0.00
1608	2001	5	27	18.00	100.00	0.37	20.21	100.00	6.20	16.23	96.70	7.30
1609	2001	5	28	19.51	97.40	0.62	24.63	100.00	5.45	16.22	75.30	0.10
1610	2001	5	29	20.96	92.10	0.76	27.12	100.00	6.20	17.15	62.75	2.00
1611	2001	5	30	20.02	86.30	0.84	27.97	100.00	4.70	13.73	42.65	0.10
1612	2001	5	31	18.76	92.60	0.26	27.86	100.00	3.20	12.62	58.56	0.00
1613	2001	6	1	20.16	85.70	0.77	28.59	100.00	5.45	12.68	48.76	0.10
1614	2001	6	2	20.46	83.20	0.95	28.86	100.00	3.95	13.46	44.59	0.00
1615	2001	6	3	20.51	83.70	0.79	27.76	100.00	6.20	13.89	51.65	0.00
1616	2001	6	4	21.24	84.80	0.71	29.94	100.00	4.70	14.56	50.37	0.00
1617	2001	6	5	20.94	85.70	0.69	27.80	100.00	5.45	14.80	55.27	0.00
1618	2001	6	6	20.24	83.60	0.79	28.41	100.00	5.45	13.80	47.01	0.00
1619	2001	6	7	19.49	89.60	0.83	26.47	100.00	6.20	14.06	57.89	0.00
1620	2001	6	8	19.87	91.30	0.64	25.44	100.00	4.70	15.44	67.39	0.00
1621	2001	6	9	19.89	88.90	0.54	26.59	100.00	6.95	15.66	53.66	0.70
1622	2001	6	10	20.15	85.50	0.99	26.84	100.00	7.70	15.77	54.06	0.00
1623	2001	6	11	19.62	85.60	1.48	25.71	100.00	7.70	15.18	55.94	0.00
1624	2001	6	12	18.40	84.70	0.58	25.92	100.00	5.45	12.05	48.15	0.00
1625	2001	6	13	18.41	83.10	0.42	26.97	100.00	4.70	10.56	47.02	0.00
1626	2001	6	14	19.32	82.20	0.78	27.48	100.00	5.45	12.48	42.31	0.00
1627	2001	6	15	19.64	76.70	1.03	28.38	100.00	6.20	12.68	32.71	0.00
1628	2001	6	16	20.42	70.90	1.35	28.66	99.40	8.45	14.70	33.24	0.00
1629	2001	6	17	20.04	77.60	0.50	26.88	97.80	6.20	14.24	49.43	0.00
1630	2001	6	18	15.35	98.90	1.28	19.00	100.00	6.20	12.70	94.00	0.00
1631	2001	6	19	15.33	96.70	0.57	20.81	100.00	4.70	11.55	77.90	0.10
1632	2001	6	20	12.95	97.20	1.20	15.08	100.00	9.20	7.97	84.30	0.10
1633	2001	6	21	10.15	80.40	0.51	17.00	100.00	4.70	4.61	44.70	0.00
1634	2001	6	22	11.65	85.90	0.34	19.94	100.00	4.70	4.12	48.66	0.00
1635	2001	6	23	16.42	84.30	0.29	25.50	100.00	3.95	9.44	47.29	0.00
1636	2001	6	24	17.76	90.20	0.35	26.13	100.00	3.95	11.07	59.92	0.00
1637	2001	6	25	19.67	80.80	0.79	28.60	100.00	7.70	12.67	40.50	0.10
1638	2001	6	26	15.34	92.40	1.12	21.49	100.00	12.95	9.38	70.90	17.60
1639	2001	6	27	10.87	88.00	0.55	17.02	100.00	4.70	4.64	54.11	0.10
1640	2001	6	28	13.63	91.00	1.58	19.31	100.00	8.45	8.35	63.86	0.00
1641	2001	6	29	14.20	90.60	0.45	21.41	100.00	5.45	8.18	59.61	0.00
1642	2001	6	30	15.47	87.00	0.32	25.43	100.00	3.20	8.54	42.59	0.20
1643	2001	7	1	16.80	82.50	0.89	26.33	100.00	3.95	9.01	42.32	0.00
1644	2001	7	2	17.63	80.60	0.54	28.81	100.00	6.20	8.63	25.59	0.00
1645	2001	7	3	18.04	82.90	0.27	28.05	100.00	3.95	10.51	36.40	0.00
1646	2001	7	4	18.21	77.10	0.76	29.27	100.00	3.95	10.09	29.68	0.00
1647	2001	7	5	18.25	75.80	0.91	29.26	100.00	6.95	9.78	29.28	0.00
1648	2001	7	6	18.59	83.70	1.31	26.50	100.00	7.70	10.43	46.00	0.00
1649	2001	7	7	17.97	80.50	0.64	26.19	100.00	4.70	10.34	40.63	0.10
1650	2001	7	8	18.97	79.70	0.95	27.11	100.00	6.20	11.29	47.08	0.00
1651	2001	7	9	19.44	75.60	0.61	27.09	100.00	6.20	13.16	40.03	0.00
1652	2001	7	10	18.52	75.60	0.75	27.61	100.00	4.70	10.34	36.27	0.00
1653	2001	7	11	19.55	70.20	1.28	28.29	100.00	9.95	10.43	35.33	0.00
1654	2001	7	12	15.41	99.20	1.55	18.72	100.00	9.20	11.27	86.70	2.70
1655	2001	7	13	14.09	86.10	1.92	21.36	100.00	9.20	9.09	59.95	0.00
1656	2001	7	14	15.50	85.60	0.36	25.27	100.00	4.70	7.04	54.40	0.00
1657	2001	7	15	17.18	89.30	0.35	27.21	100.00	3.95	10.20	52.18	0.10
1658	2001	7	16	19.93	74.50	0.55	28.25	100.00	6.20	12.53	37.41	0.00
1659	2001	7	17	19.09	65.67	0.80	27.96	99.60	6.95	11.35	25.86	0.00
1660	2001	7	18	20.74	61.76	1.26	30.05	93.30	9.95	12.19	26.60	0.00
1661	2001	7	19	19.44	80.10	0.71	26.21	99.00	6.20	14.29	54.55	0.00
1662	2001	7	20	21.99	65.41	1.56	31.06	100.00	10.70	13.59	29.89	0.00
1663	2001	7	21	23.16	62.83	1.10	30.39	95.10	9.20	14.88	41.24	0.00
1664	2001	7	22	17.93	93.20	2.02	21.78	100.00	12.20	13.94	67.95	10.70
1665	2001	7	23	15.81	88.50	2.39	20.27	100.00	8.45	12.87	69.30	0.40
